Series Name,Country Name,2011,2014,2017
Mobile cellular subscriptions,Croatia,5115140,4461350,4315580
Mobile cellular subscriptions,Turkmenistan,5300000,7206100,9377000
Mobile cellular subscriptions,Lao PDR,5480850,4618590,3711810
Mobile cellular subscriptions,Norway,5725450,5737960,5719670
Mobile cellular subscriptions,Slovak Republic,5983060,6378100,7117750
Mobile cellular subscriptions,Kyrgyz Republic,6277110,7563440,7369930
Mobile cellular subscriptions,Tajikistan,6324000,7999100,9904000
Mobile cellular subscriptions,Paraguay,6529050,7305280,7468280
Mobile cellular subscriptions,Panama,6735430,6906090,5280200
Mobile cellular subscriptions,Denmark,7173190,7160230,7132930
Mobile cellular subscriptions,Jordan,7482560,11092400,9703290
Mobile cellular subscriptions,Caribbean small states,7534119,7952809,8225310
Mobile cellular subscriptions,Burkina Faso,7682100,12494400,17946400
Mobile cellular subscriptions,Benin,7765210,8660430,8773040
Mobile cellular subscriptions,Singapore,7794300,8103800,8381900
Mobile cellular subscriptions,Mozambique,7855350,18482600,11875500
Mobile cellular subscriptions,Honduras,8062230,7725090,8233500
Mobile cellular subscriptions,Zambia,8164550,10114900,13438500
Mobile cellular subscriptions,El Salvador,8316150,9193340,9478040
Mobile cellular subscriptions,Bolivia,8353270,10450300,10963200
Mobile cellular subscriptions,Madagascar,8680770,9713880,8730500
Mobile cellular subscriptions,Dominican Republic,8770780,8303540,8769130
Mobile cellular subscriptions,Finland,8940000,7602600,7310000
Mobile cellular subscriptions,Israel,9200000,9500000,10540000
Mobile cellular subscriptions,Zimbabwe,9200000,11798700,14092100
Mobile cellular subscriptions,Senegal,9352870,14379700,15758400
Mobile cellular subscriptions,Libya,10000000,8497080,6020000
Mobile cellular subscriptions,Switzerland,10082600,11150000,11088600
Mobile cellular subscriptions,Azerbaijan,10120100,10552500,10127000
Mobile cellular subscriptions,Serbia,10182000,9344980,8621770
Mobile cellular subscriptions,Bulgaria,10475100,9486930,8532910
Mobile cellular subscriptions,Cameroon,10486600,17039100,20135400
Mobile cellular subscriptions,Belarus,10694900,11401900,11415100
Mobile cellular subscriptions,Mali,10821900,23505600,22034100
Mobile cellular subscriptions,Sweden,11454300,12312500,12519300
Mobile cellular subscriptions,"Yemen, Rep.",11668000,17100000,15357900
Mobile cellular subscriptions,Hungary,11689900,11726500,9945040
Mobile cellular subscriptions,United Arab Emirates,11727400,16819000,19826200
Mobile cellular subscriptions,Angola,12073200,14052600,13324000
Mobile cellular subscriptions,Greece,12128000,12144600,12937100
Mobile cellular subscriptions,Portugal,12334600,11895600,11764100
Mobile cellular subscriptions,Tunisia,12387700,14283600,14334100
Mobile cellular subscriptions,Belgium,12495900,12734700,11961100
Mobile cellular subscriptions,Syrian Arab Republic,12917000,14039700,15386000
Mobile cellular subscriptions,Austria,13022600,12952600,10859000
Mobile cellular subscriptions,Czech Republic,13167700,13913100,12636400
Mobile cellular subscriptions,Nepal,13354500,23021300,36096400
Mobile cellular subscriptions,Cambodia,13757000,20452000,18573000
Mobile cellular subscriptions,Afghanistan,13797900,18407200,23929700
Mobile cellular subscriptions,Ethiopia,14126700,30490000,39600000
Mobile cellular subscriptions,"Hong Kong SAR, China",15292900,16959500,18394800
Mobile cellular subscriptions,Ecuador,15332700,16605700,14651400
Mobile cellular subscriptions,"Congo, Dem. Rep.",15644900,37103000,35375200
Mobile cellular subscriptions,Uganda,16697000,20365900,24948900
Mobile cellular subscriptions,Cote d'Ivoire,17344200,22104600,31747200
Mobile cellular subscriptions,Sri Lanka,18319400,22123000,28199100
Mobile cellular subscriptions,Guatemala,19479100,16911800,19986500
Mobile cellular subscriptions,Netherlands,19829300,19562000,20532000
Mobile cellular subscriptions,Ghana,21165800,30360800,36751800
Mobile cellular subscriptions,Chile,22315200,23680700,23013100
Mobile cellular subscriptions,Romania,23420000,22920000,22400000
Mobile cellular subscriptions,Australia,23789000,25060000,27463000
Mobile cellular subscriptions,Sudan,25056200,27796600,28644100
Mobile cellular subscriptions,Kazakhstan,25240800,28595600,26693300
Mobile cellular subscriptions,Uzbekistan,25441800,21639200,24265500
Mobile cellular subscriptions,Other small states,25443440,32922097,35883189
Mobile cellular subscriptions,Iraq,25519000,33000000,33415700
Mobile cellular subscriptions,Tanzania,25666500,31862700,39953900
Mobile cellular subscriptions,Canada,26840000,28789000,31693000
Mobile cellular subscriptions,Kenya,28080800,33632600,42815100
Mobile cellular subscriptions,"Venezuela, RB",28782000,30528000,25090400
Mobile cellular subscriptions,Peru,32461400,31880000,38915400
Mobile cellular subscriptions,Small states,34327050,42564960,46194895
Mobile cellular subscriptions,Algeria,35615900,43298200,45845700
Mobile cellular subscriptions,Morocco,36553900,44114500,43916100
Mobile cellular subscriptions,Malaysia,36661300,44928600,42338500
Mobile cellular subscriptions,Colombia,46200400,55330300,62220000
Mobile cellular subscriptions,Poland,50160200,56905300,50458900
Mobile cellular subscriptions,"Korea, Rep.",52506800,57290400,63658700
Mobile cellular subscriptions,Spain,52590500,50806300,52506900
Mobile cellular subscriptions,Saudi Arabia,54000000,52735000,40211000
Mobile cellular subscriptions,Ukraine,55576500,61170200,55714700
Mobile cellular subscriptions,"Iran, Islamic Rep.",56043000,68891200,87047000
Mobile cellular subscriptions,France,59816000,65425000,69018000
Mobile cellular subscriptions,Argentina,60722700,61234200,61897400
Mobile cellular subscriptions,South Africa,64000000,79280700,88497600
Mobile cellular subscriptions,Turkey,65321700,71888400,77800200
Mobile cellular subscriptions,United Kingdom,77162300,78460700,79152800
Mobile cellular subscriptions,Thailand,77449000,97096000,121530000
Mobile cellular subscriptions,"Egypt, Arab Rep.",83425100,95316000,102958000
Mobile cellular subscriptions,Bangladesh,84368700,126866000,150945000
Mobile cellular subscriptions,Germany,90900000,99530000,109736000
Mobile cellular subscriptions,Philippines,94189800,111326000,115825000
Mobile cellular subscriptions,Mexico,94583300,104948000,114329000
Mobile cellular subscriptions,Nigeria,95167300,138960000,144920000
Mobile cellular subscriptions,Italy,96040900,89914600,83871500
Mobile cellular subscriptions,Pakistan,108895000,135762000,144526000
Mobile cellular subscriptions,Vietnam,127318000,136148000,120016000
Mobile cellular subscriptions,Central Europe and the Baltics,131232730,136666810,126579630
Mobile cellular subscriptions,Japan,132761000,157857000,172790000
Mobile cellular subscriptions,Low income,193874457,311650820,344742020
Mobile cellular subscriptions,Russian Federation,203752000,221030000,227300000
Mobile cellular subscriptions,Brazil,234358000,280729000,218255000
Mobile cellular subscriptions,Indonesia,249806000,325583000,435194000
Mobile cellular subscriptions,IDA blend,285871958,370480309,403511844
Mobile cellular subscriptions,Heavily indebted poor countries (HIPC),289409980,436363235,501846257
Mobile cellular subscriptions,Middle East & North Africa (IDA & IBRD countries),295261859,354307009,378755932
Mobile cellular subscriptions,United States,297404000,355500000,400206000
Mobile cellular subscriptions,Middle East & North Africa (excluding high income),298146819,357504559,382752142
Mobile cellular subscriptions,North America,324332200,384348491,431963997
Mobile cellular subscriptions,Fragile and conflict affected situations,329172016,501068739,532147502
Mobile cellular subscriptions,Arab World,351957917,415029269,416484296
Mobile cellular subscriptions,Least developed countries: UN classification,361458188,579127042,674668372
Mobile cellular subscriptions,Pre-demographic dividend,387321776,559471040,621562087
Mobile cellular subscriptions,Middle East & North Africa,387335257,456533768,474369881
Mobile cellular subscriptions,Euro area,402586501,407193679,416260929
Mobile cellular subscriptions,IDA only,427478513,662575422,779174655
Mobile cellular subscriptions,Europe & Central Asia (excluding high income),455770440,491126970,499893770
Mobile cellular subscriptions,Sub-Saharan Africa (excluding high income),470304762,679176998,763223839
Mobile cellular subscriptions,Sub-Saharan Africa,471725456,680980334,765230621
Mobile cellular subscriptions,Sub-Saharan Africa (IDA & IBRD countries),471725456,680980334,765230621
Mobile cellular subscriptions,Europe & Central Asia (IDA & IBRD countries),534465780,575413620,577068250
Mobile cellular subscriptions,European Union,535242031,546079589,544201989
Mobile cellular subscriptions,Latin America & Caribbean (excluding high income),591251024,669699780,633447797
Mobile cellular subscriptions,Latin America & the Caribbean (IDA & IBRD countries),625823152,705418521,664516405
Mobile cellular subscriptions,Latin America & Caribbean,631374837,712325321,673756856
Mobile cellular subscriptions,IDA total,713350471,1033055731,1182686499
Mobile cellular subscriptions,India,893862000,944009000,1168900000
Mobile cellular subscriptions,China,986253000,1286090000,1469880000
Mobile cellular subscriptions,Europe & Central Asia,1073649043,1123227357,1131687099
Mobile cellular subscriptions,South Asia,1133612138,1271478854,1554226943
Mobile cellular subscriptions,South Asia (IDA & IBRD),1133612138,1271478854,1554226943
Mobile cellular subscriptions,Post-demographic dividend,1172379686,1280455566,1356473824
Mobile cellular subscriptions,High income,1341041681,1463468705,1526730297
Mobile cellular subscriptions,OECD members,1363674938,1498216787,1593656672
Mobile cellular subscriptions,East Asia & Pacific (IDA & IBRD countries),1599464522,2064723434,2386562196
Mobile cellular subscriptions,East Asia & Pacific (excluding high income),1600442377,2067497520,2390338453
Mobile cellular subscriptions,East Asia & Pacific,1868540310,2371059261,2719377844
Mobile cellular subscriptions,Lower middle income,1913204550,2237210243,2580511425
Mobile cellular subscriptions,Late-demographic dividend,2013049923,2467484561,2611983470
Mobile cellular subscriptions,Early-demographic dividend,2287308466,2660507246,3130597206
Mobile cellular subscriptions,Upper middle income,2442448553,2987623618,3298629499
Mobile cellular subscriptions,IBRD only,3947002436,4619266041,5143673848
Mobile cellular subscriptions,Middle income,4355653103,5224833861,5879140924
Mobile cellular subscriptions,Low & middle income,4549527560,5536484681,6223882944
Mobile cellular subscriptions,IDA & IBRD total,4660352907,5652321772,6326360347
Mobile cellular subscriptions,World,5890569241,6999953386,7750613241
